,property type,society,sector,price,price_per_sq_ft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxary_score,area_bedroom_ratio
3383,house,bhawani enclave,sector 45,0.42,8235.0,510.0,Plot area 565(52.49 sq.m.)Carpet area: 510 sq.ft. (47.38 sq.m.),3,3,No,2.0,East,New Property,,,510.0,0,0,0,1,0,0,0,170.0
1339,house,independent,sector 3,0.6,11696.0,513.0,Plot area 57(5.3 sq.m.),3,3,1,2.0,,Old Property,,57.0,,0,0,0,0,1,0,0,171.0
1889,house,independent,sector 23,3.65,23443.0,1557.0,Plot area 173(144.65 sq.m.),9,9,3+,3.0,West,New Property,,1557.0,,0,1,0,1,0,2,116,173.0
1366,house,independent,sector 10,0.71,10143.0,700.0,Plot area 700(65.03 sq.m.),4,2,1,2.0,,New Property,,700.0,,0,0,0,0,0,0,0,175.0
790,house,independent,sector 4,0.45,8411.0,535.0,Carpet area: 535 (49.7 sq.m.),3,2,1,1.0,,undefined,,,535.0,0,0,0,0,0,0,0,178.33
3224,house,independent,sector 15,1.7,18889.0,900.0,Plot area 100(83.61 sq.m.)Built Up area: 61 sq.yards (51 sq.m.)Carpet area: 60 sq.yards (50.17 sq.m.),5,4,3+,3.0,East,Moderately Old,,61.0,60.0,0,0,0,0,0,0,34,180.0
1587,house,independent,sector 9,0.85,9444.0,900.0,Carpet area: 900 (83.61 sq.m.),5,3,3,1.0,,undefined,,,900.0,0,0,0,0,0,0,0,180.0
728,house,"om nagar, sector-11",sector 37,0.6,8333.0,720.0,Plot area 720(66.89 sq.m.),4,2,1,0.0,East,Old Property,,720.0,,0,0,0,0,1,0,7,180.0
754,house,independent,sector 102,0.7,9722.0,720.0,Plot area 80(66.89 sq.m.),4,3,2,3.0,West,Relatively New,,720.0,,0,0,1,1,0,0,12,180.0
3472,house,independent,sector 3,0.35,9722.0,360.0,Plot area 40(33.45 sq.m.),2,2,1,2.0,South-East,Old Property,,360.0,,0,0,0,0,0,0,0,180.0
941,house,independent,sector 57,3.7,25535.0,1449.0,Plot area 161(134.62 sq.m.),8,8,2,4.0,North-East,New Property,,1449.0,,0,0,0,1,0,2,49,181.12
1595,house,sector 57 huda,sector 57,3.8,26063.0,1458.0,Plot area 162(135.45 sq.m.)Built Up area: 162 sq.yards (135.45 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),8,8,3+,4.0,East,Relatively New,,162.0,160.0,0,0,1,1,0,2,94,182.25
3194,house,independent,sector 8,0.62,11273.0,550.0,Built Up area: 550 (51.1 sq.m.),3,1,No,2.0,,undefined,,550.0,,0,0,0,0,0,0,0,183.33
1763,house,independent,sector 10,0.66,12000.0,550.0,Plot area 550(51.1 sq.m.),3,1,1,3.0,East,Relatively New,,550.0,,0,0,0,0,1,0,22,183.33
606,house,independent,sector 8,0.6,10753.0,558.0,Plot area 62(51.84 sq.m.),3,3,1,2.0,,Relatively New,,558.0,,0,0,0,0,0,0,0,186.0
1477,house,independent,sector 10,0.95,7280.0,1305.0,Plot area 145(121.24 sq.m.),7,6,3+,3.0,,Old Property,,1305.0,,0,0,0,0,0,0,0,186.43
2211,house,independent,sector 9,0.45,8007.0,562.0,Plot area 562(52.21 sq.m.),3,2,1,1.0,North-East,Old Property,,562.0,,0,0,0,0,0,0,15,187.33
2855,house,hans enclave,sector 33,2.0,10582.0,1890.0,Built Up area: 210 (175.59 sq.m.),10,10,3,3.0,,Moderately Old,,210.0,,0,0,0,0,0,0,0,189.0
3755,flat,czar mahira homes 63a,sector 63,0.42,7407.0,567.0,Carpet area: 567 (52.68 sq.m.),3,2,2,1.0,na,undefined,,,567.0,0,0,0,0,0,0,0,189.0
966,house,independent,sector 12,6.0,35088.0,1710.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),9,6,2,2.0,North-East,Old Property,,,1600.0,0,0,0,0,0,0,0,190.0
1380,house,rattan garden,sector 6,1.3,13499.0,963.0,Built Up area: 963 (89.47 sq.m.),5,3,2,3.0,,Old Property,,963.0,,0,0,0,0,0,0,0,192.6
2817,house,independent,sector 3,0.8,8155.0,981.0,Plot area 109(91.14 sq.m.),5,4,1,2.0,,Moderately Old,,981.0,,0,0,0,0,0,0,0,196.2
2515,house,independent,sector 105,1.2,10118.0,1186.0,Plot area 1185.51(110.14 sq.m.),6,2,1,2.0,North-West,Old Property,,1185.51,,0,0,0,0,0,0,9,197.67
2413,house,independent,sector 6,1.16,11717.0,990.0,Carpet area: 110 (91.97 sq.m.),5,4,2,1.0,North-East,undefined,,,110.0,0,0,0,0,0,0,0,198.0
363,house,independent,sector 23,1.15,19360.0,594.0,Plot area 66(55.18 sq.m.),3,3,2,2.0,South-East,Old Property,,594.0,,0,0,0,0,0,2,32,198.0
2129,house,independent,sector 6,1.16,11694.0,992.0,Plot area 992(92.16 sq.m.)Carpet area: 992 sq.ft. (92.16 sq.m.),5,4,2,3.0,North-East,Moderately Old,,,992.0,0,0,0,0,1,0,39,198.4
91,flat,breez global heights 88a,sector 88,0.5,8375.0,597.0,Carpet area: 597 (55.46 sq.m.),3,2,2,2.0,na,Under Construction,,,597.0,0,0,0,0,0,0,15,199.0
2975,house,independent,sector 12,2.5,13889.0,1800.0,Plot area 1800(167.23 sq.m.),9,5,2,1.0,South-East,Old Property,,1800.0,,0,0,0,1,0,0,8,200.0
1793,house,huda floor,sector 38,4.0,22222.0,1800.0,Plot area 1800(167.23 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),9,9,3+,2.0,East,Relatively New,,4800.0,3800.0,0,0,1,1,0,2,152,200.0
2754,house,madan puri,sector 10,0.75,12500.0,600.0,Plot area 600(55.74 sq.m.),3,5,3,3.0,South-East,Moderately Old,,600.0,,0,0,0,0,0,0,0,200.0
3515,house,independent,sector 5,0.5,8333.0,600.0,Plot area 600(55.74 sq.m.),3,3,2,2.0,East,Moderately Old,,600.0,,0,0,0,1,0,0,0,200.0
1911,house,independent,sector 37,0.95,9500.0,1000.0,Plot area 1000(92.9 sq.m.),5,3,2,2.0,West,Relatively New,,1000.0,,0,0,0,1,0,0,0,200.0
1768,house,independent,sector 9,0.63,7875.0,800.0,Built Up area: 800 (74.32 sq.m.),4,2,1,2.0,South-East,Old Property,,800.0,,0,0,0,0,1,0,7,200.0
69,house,independent,sector 8,0.82,10224.0,802.0,Carpet area: 802 (74.51 sq.m.),4,4,No,2.0,,undefined,,,802.0,0,0,0,0,0,0,0,200.5
2811,house,independent,sector 9,0.78,9726.0,802.0,Carpet area: 802 (74.51 sq.m.),4,4,No,3.0,North-East,undefined,,,802.0,0,0,0,0,0,0,0,200.5
2816,house,independent,sector 10,2.1,17284.0,1215.0,Plot area 135(112.88 sq.m.),6,6,3+,3.0,,Relatively New,,1215.0,,0,0,0,0,0,0,14,202.5
3335,house,independent,sector 9,0.66,10784.0,612.0,Plot area 612(56.86 sq.m.),3,2,1,2.0,,Old Property,,612.0,,0,0,0,0,0,0,36,204.0
309,house,independent,sector 45,4.49,24455.0,1836.0,Plot area 204(170.57 sq.m.),9,9,3+,3.0,North-West,Moderately Old,,1836.0,,0,0,0,0,1,2,90,204.0
3646,house,farrukhnagar,sector 12,0.6,5698.0,1053.0,Plot area 117(97.83 sq.m.),5,4,3+,2.0,North,Relatively New,,1053.0,,1,0,0,0,0,2,16,210.6
1959,house,independent,sector 12,1.2,14184.0,846.0,Plot area 846(78.6 sq.m.)Built Up area: 846 sq.ft. (78.6 sq.m.),4,4,2,2.0,North,Relatively New,,846.0,,0,0,0,1,0,2,7,211.5
3188,flat,gls avenue 51,sector 92,0.42,6562.0,640.0,Carpet area: 640 (59.46 sq.m.),3,3,1,2.0,na,Relatively New,,,640.0,0,0,0,0,0,0,20,213.33
503,flat,gls avenue 51,sector 92,0.5,7812.0,640.0,Carpet area: 640 (59.46 sq.m.),3,3,1,12.0,na,New Property,,,640.0,0,0,0,0,0,1,95,213.33
3904,flat,gls avenue 51,sector 92,0.5,7812.0,640.0,Super Built up area 640(59.46 sq.m.),3,3,1,0.0,na,Relatively New,640.0,,,0,0,0,0,0,0,0,213.33
1381,flat,gls avenue 51,sector 92,0.39,6075.0,642.0,Carpet area: 641.74 (59.62 sq.m.),3,3,3+,6.0,north,Relatively New,,,641.743718,0,0,0,0,0,0,104,214.0
2433,house,independent,sector 6,1.2,11194.0,1072.0,Built Up area: 1072 (99.59 sq.m.),5,4,2,3.0,,undefined,,1072.0,,0,0,0,0,0,0,0,214.4
1908,flat,rof ananda,sector 95,0.37,5745.0,644.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,6.0,south-east,Relatively New,,,644.111776,0,0,0,1,0,2,72,214.67
