,property type,society,sector,price,price_per_sq_ft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxary_score,area_bedroom_ratio
1857,house,independent,sector 105,0.65,9028.0,720.0,Plot area 80(66.89 sq.m.),3,2,1,1.0,East,Relatively New,,720.0,,0,0,0,1,1,0,14,240.0
3528,flat,gls arawali homes,sector 163,0.29,6029.0,481.0,Carpet area: 480.53 (44.64 sq.m.),2,2,2,9.0,east,Relatively New,,,480.500496,0,0,0,0,0,0,55,240.5
541,flat,pivotal devaan,sector 84,0.35,7277.0,481.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,10.0,west,Relatively New,583.0,,481.0,0,0,1,0,0,0,103,240.5
1184,flat,mvn athens,sector 163,0.25,5198.0,481.0,Built Up area: 481 (44.69 sq.m.),2,2,No,0.0,na,Relatively New,,481.0,,0,0,0,0,0,0,37,240.5
3633,flat,gls arawali homes,sector 163,0.3,6237.0,481.0,Super Built up area 567(52.68 sq.m.)Carpet area: 480.53 sq.ft. (44.64 sq.m.),2,2,2,4.0,east,Relatively New,567.0,,480.53,0,0,0,0,0,1,120,240.5
853,flat,mvn athens,sector 163,0.26,5394.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5.0,na,Relatively New,,,481.684525,0,0,0,0,0,0,95,241.0
854,flat,conscient habitat,sector 99,0.27,5602.0,482.0,Carpet area: 484 (44.97 sq.m.),2,2,1,8.0,south-west,Relatively New,,,484.0,0,0,0,0,1,0,49,241.0
988,flat,mvn athens,sector 163,0.26,5394.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5.0,na,Relatively New,,,481.684525,0,0,0,0,0,0,95,241.0
1110,flat,tulip lemon,sector 69,0.62,12863.0,482.0,Carpet area: 482 (44.78 sq.m.),2,2,1,4.0,north-east,Relatively New,,,482.0,0,0,0,0,0,2,108,241.0
1374,flat,mvn athens,sector 163,0.25,5187.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,3.0,east,Relatively New,,,481.684525,0,0,0,0,0,0,51,241.0
1502,flat,mvn athens,sector 163,0.26,5394.0,482.0,Carpet area: 481.74 (44.76 sq.m.),2,2,1,2.0,na,Relatively New,,,481.792164,0,0,0,0,0,0,37,241.0
1706,flat,mvn athens,sector 163,0.25,5187.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,0.0,north,Relatively New,,,481.684525,0,0,0,1,0,0,90,241.0
1244,flat,pivotal devaan,sector 84,0.34,7039.0,483.0,Carpet area: 483 (44.87 sq.m.),2,2,1,1.0,east,Relatively New,,,483.0,0,0,1,0,0,2,84,241.5
2406,flat,pivotal devaan,sector 84,0.35,7246.0,483.0,Carpet area: 483 (44.87 sq.m.),2,2,2,4.0,east,Relatively New,,,483.0,0,0,0,0,0,0,37,241.5
44,house,iffco nagar and 17b rwa,sector 17,2.98,20566.0,1449.0,Plot area 161(134.62 sq.m.),6,6,3+,3.0,East,Relatively New,,1449.0,,1,0,0,1,0,0,78,241.5
3242,house,independent,sector 101,0.75,15432.0,486.0,Plot area 54(5.02 sq.m.),2,1,No,1.0,,Old Property,,54.0,,0,0,0,0,0,0,0,243.0
72,house,huda housing board colony,sector 31,4.6,31507.0,1460.0,Plot area 1460(135.64 sq.m.),6,4,3+,3.0,East,Old Property,,1460.0,,0,0,0,0,1,0,8,243.33
878,house,uppal southend,sector 48,3.75,25562.0,1467.0,Built Up area: 163 (136.29 sq.m.),6,6,3+,3.0,East,Moderately Old,,163.0,,1,0,0,0,0,2,26,244.5
415,flat,signature global solera,sector 107,0.3,6135.0,489.0,Super Built up area 602(55.93 sq.m.)Carpet area: 489 sq.ft. (45.43 sq.m.),2,2,1,5.0,east,Relatively New,602.0,,489.0,0,0,0,0,0,0,57,244.5
3085,house,uppal southend,sector 48,3.75,25562.0,1467.0,Plot area 163(136.29 sq.m.),6,6,3,3.0,East,Moderately Old,,1467.0,,0,0,0,0,1,0,49,244.5
946,flat,signature global solera,sector 107,0.29,5930.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,3.0,east,Relatively New,,,489.0,0,0,0,0,0,0,45,244.5
1443,flat,signature global solera,sector 107,0.28,5726.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,10.0,south,Relatively New,,,489.0,0,0,0,0,0,0,38,244.5
2635,house,independent,sector 47,4.3,29312.0,1467.0,Plot area 163(136.29 sq.m.),6,4,2,2.0,,Moderately Old,,1467.0,,0,0,0,0,1,0,0,244.5
2540,flat,signature global solera,sector 107,0.27,5521.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,0.0,north-east,Relatively New,,,489.0,0,0,0,0,0,0,45,244.5
3655,flat,signature global solera,sector 107,0.28,5726.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,west,Relatively New,,,489.0,0,0,0,0,0,0,45,244.5
2212,flat,signature global solera,sector 107,0.28,5680.0,493.0,Carpet area: 489 (45.43 sq.m.),2,2,2,11.0,north,Relatively New,,,489.0,0,0,0,0,0,0,29,246.5
2097,flat,signature global solera,sector 107,0.28,5680.0,493.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,west,Relatively New,,,489.0,0,0,0,0,0,0,45,246.5
331,house,independent,sector 8,4.6,26620.0,1728.0,Plot area 192(160.54 sq.m.),7,6,3+,4.0,,Moderately Old,,1728.0,,0,0,0,0,0,1,51,246.86
835,flat,pyramid urban homes 2,sector 86,0.41,8283.0,495.0,Carpet area: 501 (46.54 sq.m.),2,2,1,7.0,west,New Property,,,501.0,1,1,0,1,1,0,49,247.5
1239,flat,pyramid urban homes 2,sector 86,0.42,8485.0,495.0,Carpet area: 501 (46.54 sq.m.),2,2,1,2.0,north-east,New Property,,,501.0,1,1,0,1,1,0,84,247.5
2386,flat,zara aavaas,sector 104,0.49,6577.0,745.0,Super Built up area 745(69.21 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,7.0,na,Under Construction,745.0,,645.0,0,0,0,0,0,0,74,248.33
1942,flat,prime habitat,sector 99,0.27,5433.0,497.0,Carpet area: 497 (46.17 sq.m.),2,2,1,4.0,north-east,New Property,,,497.0,0,0,0,0,0,0,7,248.5
2984,flat,signature global solera,sector 107,0.28,5622.0,498.0,Carpet area: 489 (45.43 sq.m.),2,2,2,14.0,north-west,Relatively New,,,489.0,0,0,0,0,0,0,38,249.0
